Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Clicks,Conversions,CTR,CPC,Conversion_Rate,Success
CAMP-XAJI0Y,16295,35,Instagram,Video,35-44,Female,US,1212,113,4.01,13.44,9.32,1
CAMP-6DPBHS,6765,25,LinkedIn,Video,45-54,Female,UK,181,10,2.56,37.38,5.52,0
CAMP-AHXTHV,16523,9,YouTube,Image,35-44,All,US,981,124,4.86,16.84,12.64,1
CAMP-3A3ZMF,2933,27,Facebook,Text,25-34,Female,US,293,3,3.24,10.01,1.02,0
CAMP-8MDD4V,27980,55,Google,Story,18-24,All,UK,2253,37,2.3,12.42,1.64,0
CAMP-30T9NT,3247,22,LinkedIn,Image,45-54,Male,UK,34,3,0.91,95.5,8.82,0
CAMP-3W5UZB,2399,58,Facebook,Text,35-44,Male,US,51,4,0.7,47.04,7.84,0
CAMP-IKCIDK,31240,15,LinkedIn,Story,55+,All,Germany,1511,219,4.77,20.68,14.49,1
CAMP-WNNHJ7,8933,15,LinkedIn,Carousel,18-24,Female,UK,133,5,1.53,67.17,3.76,0
CAMP-XVG0FN,23983,13,Google,Story,25-34,All,India,3751,128,4.25,6.39,3.41,0
CAMP-9XUY41,36420,42,YouTube,Video,35-44,Female,Canada,1975,137,3.9,18.44,6.94,0
CAMP-IBLJH7,44073,48,Instagram,Video,25-34,Male,US,676,86,0.64,65.2,12.72,0
CAMP-5LXO6Q,6175,40,YouTube,Carousel,25-34,Female,US,465,51,4.66,13.28,10.97,1
CAMP-JIUJV6,12034,14,Google,Image,45-54,All,Canada,1231,177,2.84,9.78,14.38,0
CAMP-OH9SDB,24776,22,Google,Text,45-54,All,Germany,2880,265,2.93,8.6,9.2,0
CAMP-DW2PCN,21743,51,Google,Story,35-44,Male,Canada,2409,49,4.11,9.03,2.03,0
CAMP-9T84AZ,41274,15,Facebook,Video,55+,Female,UK,1928,20,1.39,21.41,1.04,0
CAMP-YTJXEP,5758,57,YouTube,Image,35-44,Female,Canada,422,49,3.77,13.64,11.61,1
CAMP-Q85JSG,39160,48,YouTube,Carousel,55+,Female,US,630,82,1.02,62.16,13.02,0
CAMP-65KXVF,31035,18,LinkedIn,Video,25-34,Male,Canada,301,16,0.78,103.11,5.32,0
CAMP-1T2TAL,14539,43,LinkedIn,Carousel,18-24,Female,India,770,103,3.37,18.88,13.38,1
CAMP-A753LC,5556,41,LinkedIn,Story,35-44,All,UK,218,25,3.7,25.49,11.47,1
CAMP-58DRC1,33770,20,Google,Text,35-44,Female,Canada,3310,231,2.85,10.2,6.98,0
CAMP-1ERTJ5,23919,19,YouTube,Video,55+,Male,US,1530,117,4.53,15.63,7.65,0
CAMP-PHT0HL,45651,10,Google,Video,25-34,Female,UK,3187,214,1.62,14.32,6.71,0
CAMP-9XPSEI,34327,19,Facebook,Story,25-34,Female,US,1321,43,1.8,25.99,3.26,0
CAMP-MVIHCW,44085,48,LinkedIn,Image,55+,All,Germany,2420,319,3.35,18.22,13.18,1
CAMP-I64CIY,30223,50,Google,Text,25-34,Female,India,3810,325,4.52,7.93,8.53,1
CAMP-HE7UR2,26605,34,Google,Video,45-54,All,Germany,3836,184,4.58,6.94,4.8,0
CAMP-3GDPPQ,1806,58,Facebook,Text,18-24,All,India,88,2,1.86,20.52,2.27,0
CAMP-0Y9DOM,6030,15,Instagram,Video,35-44,Male,Canada,496,23,3.61,12.16,4.64,0
CAMP-5IGQPK,1163,21,YouTube,Text,18-24,All,UK,23,2,1.44,50.57,8.7,0
CAMP-I7P5TB,47076,58,Instagram,Carousel,35-44,All,Canada,3327,365,3.63,14.15,10.97,1
CAMP-94874F,2136,55,LinkedIn,Video,45-54,Male,India,65,9,1.69,32.86,13.85,0
CAMP-RHOCN9,47823,29,Google,Text,25-34,All,India,6548,285,4.59,7.3,4.35,0
CAMP-J2QP89,22056,50,Facebook,Image,55+,Male,India,1834,170,2.99,12.03,9.27,0
CAMP-UZFK8U,33470,23,Facebook,Carousel,45-54,Female,US,2361,232,2.15,14.18,9.83,0
CAMP-T0CVS4,697,28,YouTube,Carousel,18-24,Male,UK,11,1,0.9,63.36,9.09,0
CAMP-F8CGVY,42607,12,Instagram,Image,55+,All,Canada,4784,266,4.36,8.91,5.56,0
CAMP-IE6IVW,47511,25,YouTube,Text,25-34,Male,Canada,3831,225,4.14,12.4,5.87,0
CAMP-PVS7HZ,2234,58,Google,Story,45-54,All,Germany,223,18,2.28,10.02,8.07,0
CAMP-IOYKL1,11611,7,YouTube,Image,55+,Female,India,844,33,3.81,13.76,3.91,0
CAMP-CQ99CH,22418,36,Facebook,Text,45-54,Male,India,1102,38,1.53,20.34,3.45,0
CAMP-J755NF,25699,58,Facebook,Image,45-54,Female,India,1194,27,1.59,21.52,2.26,0
CAMP-4ZW9XA,21432,43,LinkedIn,Image,25-34,All,Canada,491,24,1.35,43.65,4.89,0
CAMP-3KX7EE,43142,54,LinkedIn,Video,35-44,All,Germany,3138,209,4.35,13.75,6.66,0
CAMP-DTJVZH,12683,58,Google,Text,55+,Female,US,401,54,1.23,31.63,13.47,0
CAMP-WJR64D,48854,54,Instagram,Story,25-34,Male,UK,2966,31,3.49,16.47,1.05,0
CAMP-PJA1WJ,47475,52,YouTube,Video,45-54,Male,US,3047,308,3.61,15.58,10.11,1
CAMP-0TPAC5,47260,42,Google,Image,25-34,All,Canada,2886,160,1.57,16.38,5.54,0
CAMP-6T4UFE,4487,14,LinkedIn,Image,35-44,Female,India,259,23,3.45,17.32,8.88,1
CAMP-L6246H,5055,57,YouTube,Image,55+,Female,UK,153,14,1.62,33.04,9.15,0
CAMP-ID25OW,47833,51,LinkedIn,Text,35-44,Male,Canada,2997,212,4.58,15.96,7.07,0
CAMP-F75935,48904,36,YouTube,Text,18-24,Male,Canada,3222,422,3.51,15.18,13.1,1
CAMP-A0L725,28143,54,Instagram,Video,55+,Male,Canada,341,34,0.61,82.53,9.97,0
CAMP-3J2D54,8708,50,Google,Story,35-44,Female,UK,1825,251,4.79,4.77,13.75,1
CAMP-I3QK2I,47702,47,YouTube,Video,45-54,Male,UK,2087,182,1.99,22.86,8.72,0
CAMP-AGL58K,1199,39,Facebook,Carousel,55+,Male,Germany,47,1,1.84,25.51,2.13,0
CAMP-XO9T7E,20278,24,Facebook,Image,55+,All,Germany,2842,305,4.71,7.14,10.73,1
CAMP-8G8JDP,35163,52,YouTube,Image,25-34,Male,US,1495,222,3.27,23.52,14.85,1
