Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Gender,Region,Target_Age,Impressions,Clicks,Conversions,CTR,CPC,Conversion_Rate
CAMP_0001,41378,11,Google,Text,Female,Germany,45-54,786182,29213,3534,3.72,1.42,12.1
CAMP_0002,47652,61,YouTube,Story,Female,India,18-24,1620168,42893,1284,2.65,1.11,2.99
CAMP_0003,77430,8,LinkedIn,Story,All,US,35-44,2245470,90141,13365,4.01,0.86,14.83
CAMP_0004,18467,68,TikTok,Story,All,Japan,18-24,738680,13404,740,1.81,1.38,5.52
CAMP_0005,36010,27,Google,Video,Female,Germany,25-34,468130,10814,354,2.31,3.33,3.27
CAMP_0006,59691,85,LinkedIn,Video,All,India,35-44,1910112,60870,7779,3.19,0.98,12.78
CAMP_0007,69157,27,TikTok,Carousel,Female,Canada,25-34,760727,25116,2809,3.3,2.75,11.18
CAMP_0008,17289,16,Google,Story,Female,US,55+,535959,5834,584,1.09,2.96,10.01
CAMP_0009,49976,64,Instagram,Text,All,US,25-34,2298896,109897,4426,4.78,0.45,4.03
CAMP_0010,48596,45,Facebook,Image,Male,Canada,55+,826132,31281,2571,3.79,1.55,8.22
CAMP_0011,28171,11,Facebook,Carousel,All,Canada,55+,450736,13444,1633,2.98,2.1,12.15
CAMP_0012,91365,71,LinkedIn,Video,Male,US,25-34,2101395,99448,5914,4.73,0.92,5.95
CAMP_0013,49139,19,TikTok,Carousel,Female,Canada,25-34,589668,16253,983,2.76,3.02,6.05
CAMP_0014,53713,59,Facebook,Carousel,Female,UK,55+,1342825,66090,1348,4.92,0.81,2.04
CAMP_0015,34734,88,TikTok,Carousel,Male,India,35-44,972552,29654,1264,3.05,1.17,4.26
CAMP_0016,77588,51,TikTok,Carousel,Female,India,55+,2094876,30525,4084,1.46,2.54,13.38
CAMP_0017,68646,38,LinkedIn,Image,Male,India,45-54,1716150,69662,5393,4.06,0.99,7.74
CAMP_0018,8654,42,LinkedIn,Story,Male,UK,55+,147118,5466,808,3.72,1.58,14.78
CAMP_0019,94022,87,LinkedIn,Text,Female,France,35-44,3948924,161587,11544,4.09,0.58,7.14
CAMP_0020,23743,66,Facebook,Carousel,Male,Canada,45-54,498603,23961,2706,4.81,0.99,11.29
CAMP_0021,53368,17,LinkedIn,Carousel,All,Germany,18-24,1067360,43825,2482,4.11,1.22,5.66
CAMP_0022,95025,69,Facebook,Carousel,All,Canada,18-24,1330350,45835,3084,3.45,2.07,6.73
CAMP_0023,79172,27,LinkedIn,Story,Female,US,35-44,2850192,126241,5654,4.43,0.63,4.48
CAMP_0024,11441,58,YouTube,Video,Female,Australia,55+,240261,8872,577,3.69,1.29,6.5
CAMP_0025,29611,61,TikTok,Video,Male,Japan,25-34,769886,20267,1847,2.63,1.46,9.11
CAMP_0026,17149,32,LinkedIn,Image,Male,Japan,35-44,257235,11684,1740,4.54,1.47,14.89
CAMP_0027,64189,74,Google,Video,Male,India,45-54,2695938,50888,5411,1.89,1.26,10.63
CAMP_0028,26675,40,TikTok,Carousel,Male,Canada,45-54,373450,14409,661,3.86,1.85,4.59
CAMP_0029,76031,58,TikTok,Carousel,All,Germany,18-24,2813147,127330,3290,4.53,0.6,2.58
CAMP_0030,47668,88,LinkedIn,Carousel,All,US,45-54,1096364,43035,1567,3.93,1.11,3.64
CAMP_0031,18673,58,Instagram,Image,Female,UK,35-44,261422,9905,922,3.79,1.89,9.31
CAMP_0032,81666,35,LinkedIn,Carousel,Male,France,45-54,3429972,137560,16434,4.01,0.59,11.95
CAMP_0033,93204,44,TikTok,Video,Male,UK,35-44,2609712,74643,10618,2.86,1.25,14.23
