Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Gender,Region,Target_Age,Impressions,Clicks,Conversions,CTR,CPC,Conversion_Rate
CAMP_0001,22369,12,Facebook,Video,Male,Germany,18-24,671070,14385,528,2.14,1.56,3.67
CAMP_0002,16795,69,TikTok,Carousel,All,Germany,25-34,352695,13012,1230,3.69,1.29,9.45
CAMP_0003,75021,73,Instagram,Story,Female,Australia,18-24,2850798,47878,1336,1.68,1.57,2.79
CAMP_0004,73154,17,Instagram,Video,All,Canada,55+,3072468,37535,901,1.22,1.95,2.4
CAMP_0005,35143,49,TikTok,Story,All,Canada,35-44,843432,19606,2213,2.32,1.79,11.29
CAMP_0006,34425,23,Facebook,Text,Female,Japan,18-24,378675,15388,1031,4.06,2.24,6.7
CAMP_0007,93209,10,TikTok,Image,Female,India,45-54,4474032,118772,4311,2.65,0.78,3.63
CAMP_0008,80139,69,Facebook,Image,Male,Japan,35-44,2163753,78152,4139,3.61,1.03,5.3
CAMP_0009,10368,74,TikTok,Image,Male,UK,45-54,124416,4128,427,3.32,2.51,10.34
CAMP_0010,9621,87,Facebook,Story,All,UK,18-24,153936,1676,93,1.09,5.74,5.55
CAMP_0011,63829,47,Instagram,Story,Female,Japan,35-44,1723383,85379,7196,4.95,0.75,8.43
CAMP_0012,65294,89,TikTok,Carousel,Male,Canada,45-54,3068818,35773,1281,1.17,1.83,3.58
CAMP_0013,19719,11,Instagram,Image,All,UK,55+,907074,44185,4261,4.87,0.45,9.64
CAMP_0014,34227,38,Instagram,Carousel,Female,France,55+,1437534,45993,2809,3.2,0.74,6.11
CAMP_0015,12566,76,TikTok,Image,All,Canada,18-24,502640,24391,2475,4.85,0.52,10.15
CAMP_0016,17306,41,TikTok,Carousel,Male,Germany,35-44,346120,5049,631,1.46,3.43,12.5
CAMP_0017,58822,28,Facebook,Carousel,Male,India,25-34,764686,22647,2253,2.96,2.6,9.95
CAMP_0018,29042,71,Facebook,Text,Female,US,35-44,784134,13157,768,1.68,2.21,5.84
CAMP_0019,20086,28,Instagram,Carousel,All,India,55+,261118,3143,167,1.2,6.39,5.31
CAMP_0020,22387,17,Facebook,Story,Female,Japan,45-54,962641,33404,2089,3.47,0.67,6.25
CAMP_0021,32042,83,Facebook,Carousel,Male,Canada,25-34,1217596,22295,923,1.83,1.44,4.14
CAMP_0022,94424,9,TikTok,Image,Male,Japan,18-24,3115992,104410,4547,3.35,0.9,4.35
CAMP_0023,56618,15,Facebook,Carousel,All,France,25-34,1755158,25440,3123,1.45,2.23,12.28
