Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Gender,Region,Target_Age,Impressions,Clicks,Conversions,CTR,CPC,Conversion_Rate
CAMP_0001,20795,59,Instagram,Story,Female,Canada,25-34,623850,15226,1163,2.44,1.37,7.64
CAMP_0002,5860,8,Instagram,Image,All,France,25-34,240260,3623,260,1.51,1.62,7.18
CAMP_0003,81820,66,Facebook,Image,Male,India,35-44,2618240,80876,8092,3.09,1.01,10.01
CAMP_0004,59886,77,Instagram,Text,Male,Japan,55+,2515212,102620,10524,4.08,0.58,10.26
CAMP_0005,11265,50,YouTube,Video,Male,UK,18-24,135180,2518,65,1.86,4.47,2.58
CAMP_0006,87386,14,Google,Text,All,Japan,45-54,2359422,82380,5659,3.49,1.06,6.87
CAMP_0007,42194,53,Google,Story,Female,US,18-24,1434596,19243,1950,1.34,2.19,10.13
CAMP_0008,92498,41,Facebook,Story,Female,India,45-54,3699920,44647,3813,1.21,2.07,8.54
CAMP_0009,49131,84,LinkedIn,Story,Male,India,18-24,589572,18426,2420,3.13,2.67,13.13
CAMP_0010,65263,87,Facebook,Story,Female,US,55+,3197887,101134,10682,3.16,0.65,10.56
CAMP_0011,21023,42,LinkedIn,Story,Female,UK,45-54,693759,24626,1014,3.55,0.85,4.12
CAMP_0012,46090,56,Google,Carousel,All,US,35-44,1889690,73780,2152,3.9,0.62,2.92
CAMP_0013,72221,10,Facebook,Image,All,Japan,18-24,2238851,109780,11363,4.9,0.66,10.35
CAMP_0014,69820,8,TikTok,Story,All,Australia,18-24,2234240,68483,1605,3.07,1.02,2.34
CAMP_0015,5769,12,YouTube,Video,All,India,45-54,63459,1454,139,2.29,3.97,9.56
CAMP_0016,64735,60,Instagram,Video,Male,Germany,35-44,2330460,97430,13857,4.18,0.66,14.22
CAMP_0017,67955,10,LinkedIn,Video,All,Germany,35-44,747505,15572,1476,2.08,4.36,9.48
CAMP_0018,69925,60,TikTok,Video,Female,Japan,55+,2447375,67446,4752,2.76,1.04,7.05
CAMP_0019,72969,69,Instagram,Carousel,Male,Canada,35-44,1897194,24925,2582,1.31,2.93,10.36
CAMP_0020,10311,24,Instagram,Video,Female,France,35-44,505239,5564,442,1.1,1.85,7.94
CAMP_0021,88104,50,Facebook,Story,Female,US,35-44,3700368,179489,16320,4.85,0.49,9.09
CAMP_0022,58707,40,Instagram,Text,Female,US,25-34,1056726,45903,6536,4.34,1.28,14.24
CAMP_0023,90305,80,YouTube,Video,All,Canada,55+,4334640,164018,11512,3.78,0.55,7.02
CAMP_0024,33693,68,TikTok,Carousel,All,Canada,18-24,1280334,33747,4891,2.64,1.0,14.49
CAMP_0025,76932,20,Instagram,Carousel,Male,Japan,45-54,2692620,45590,6277,1.69,1.69,13.77
CAMP_0026,98016,54,Facebook,Video,Male,Japan,18-24,4312704,70113,3186,1.63,1.4,4.54
CAMP_0027,30658,21,YouTube,Text,All,Canada,55+,1042372,20857,605,2.0,1.47,2.9
CAMP_0028,89478,78,Google,Video,Female,India,45-54,2952774,94397,3124,3.2,0.95,3.31
CAMP_0029,23431,84,TikTok,Carousel,Male,Japan,55+,515482,19889,444,3.86,1.18,2.23
CAMP_0030,7747,68,Instagram,Image,All,Australia,35-44,123952,4512,145,3.64,1.72,3.21
CAMP_0031,64150,46,Facebook,Story,All,Japan,45-54,2886750,61191,6657,2.12,1.05,10.88
CAMP_0032,70725,86,Google,Carousel,All,US,35-44,2051025,98848,2891,4.82,0.72,2.92
CAMP_0033,89654,88,Google,Video,Female,Japan,18-24,896540,35427,2177,3.95,2.53,6.15
CAMP_0034,40773,59,LinkedIn,Story,All,India,18-24,693141,22301,2895,3.22,1.83,12.98
CAMP_0035,72435,30,YouTube,Video,All,Canada,45-54,1810875,62418,1437,3.45,1.16,2.3
CAMP_0036,61886,32,Instagram,Video,All,US,45-54,1423378,38123,4798,2.68,1.62,12.59
CAMP_0037,71803,66,Facebook,Image,All,Japan,55+,1507863,30020,1700,1.99,2.39,5.66
CAMP_0038,36551,47,LinkedIn,Story,Male,India,55+,1169632,28350,1002,2.42,1.29,3.53
CAMP_0039,16394,35,YouTube,Story,Male,Australia,35-44,393456,15861,1753,4.03,1.03,11.05
CAMP_0040,74092,21,LinkedIn,Image,All,Japan,45-54,2741404,28992,2950,1.06,2.56,10.18
CAMP_0041,8890,51,TikTok,Carousel,Female,India,18-24,382270,5597,750,1.46,1.59,13.4
CAMP_0042,46606,71,YouTube,Video,Male,Australia,55+,512666,6070,701,1.18,7.68,11.55
CAMP_0043,85038,77,YouTube,Text,All,Canada,55+,3486558,40545,5045,1.16,2.1,12.44
CAMP_0044,92313,15,Instagram,Video,Male,Japan,18-24,2954016,130621,7401,4.42,0.71,5.67
CAMP_0045,15627,7,YouTube,Video,Male,Australia,55+,484437,18479,795,3.81,0.85,4.3
CAMP_0046,13792,14,LinkedIn,Carousel,Female,US,35-44,468928,13583,1597,2.9,1.02,11.76
CAMP_0047,78969,69,YouTube,Video,All,Canada,45-54,2448039,34060,4253,1.39,2.32,12.49
CAMP_0048,48001,17,Instagram,Image,All,US,18-24,1488031,44141,6566,2.97,1.09,14.88
CAMP_0049,81552,87,Instagram,Image,Female,Germany,45-54,1223280,35400,2606,2.89,2.3,7.36
CAMP_0050,28897,14,TikTok,Story,Female,UK,55+,693528,11740,802,1.69,2.46,6.83
